,START_DATE,SIMULATION_START_DATE,XTIME units base,time[1],time[-1]
wrfout_d02_2007-04-16_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/16/07 00:00,4/16/07 23:00
wrfout_d02_2007-04-17_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/17/07 00:00,4/17/07 23:00
wrfout_d02_2007-04-18_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/18/07 00:00,4/18/07 23:00
wrfout_d02_2007-04-19_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/19/07 00:00,4/19/07 23:00
wrfout_d02_2007-04-20_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/20/07 00:00,4/20/07 23:00
wrfout_d02_2007-04-21_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/21/07 00:00,4/21/07 23:00
wrfout_d02_2007-04-22_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/22/07 00:00,4/22/07 23:00
wrfout_d02_2007-04-23_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/23/07 00:00,4/23/07 23:00
wrfout_d02_2007-04-24_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/24/07 00:00,4/24/07 23:00
wrfout_d02_2007-04-25_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/25/07 00:00,4/25/07 23:00
wrfout_d02_2007-04-26_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/26/07 00:00,4/26/07 23:00
wrfout_d02_2007-04-27_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/27/07 00:00,4/27/07 23:00
wrfout_d02_2007-04-28_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/28/07 00:00,4/28/07 23:00
wrfout_d02_2007-04-29_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/29/07 00:00,4/29/07 23:00
wrfout_d02_2007-04-30_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,4/30/07 00:00,4/30/07 23:00
wrfout_d02_2007-05-01_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/1/07 00:00,5/1/07 23:00
wrfout_d02_2007-05-02_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/2/07 00:00,5/2/07 23:00
wrfout_d02_2007-05-03_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/3/07 00:00,5/3/07 23:00
wrfout_d02_2007-05-04_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/4/07 00:00,5/4/07 23:00
wrfout_d02_2007-05-05_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/5/07 00:00,5/5/07 23:00
wrfout_d02_2007-05-06_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/6/07 00:00,5/6/07 23:00
wrfout_d02_2007-05-07_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/7/07 00:00,5/7/07 23:00
wrfout_d02_2007-05-08_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/8/07 00:00,5/8/07 23:00
wrfout_d02_2007-05-09_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/9/07 00:00,5/9/07 23:00
wrfout_d02_2007-05-10_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/10/07 00:00,5/10/07 23:00
wrfout_d02_2007-05-11_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/11/07 00:00,5/11/07 23:00
wrfout_d02_2007-05-12_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/12/07 00:00,5/12/07 23:00
wrfout_d02_2007-05-13_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/13/07 00:00,5/13/07 23:00
wrfout_d02_2007-05-14_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/14/07 00:00,5/14/07 23:00
wrfout_d02_2007-05-15_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/15/07 00:00,5/15/07 23:00
wrfout_d02_2007-05-16_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/16/07 00:00,5/16/07 23:00
wrfout_d02_2007-05-17_00:00:00,12/20/06 00:00,12/20/06 00:00,12/20/06 00:00,5/17/07 00:00,5/17/07 23:00
wrfout_d02_2007-05-18_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/18/07 00:00,5/18/07 23:00
wrfout_d02_2007-05-19_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/19/07 00:00,5/19/07 23:00
wrfout_d02_2007-05-20_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/20/07 00:00,5/20/07 23:00
wrfout_d02_2007-05-21_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/21/07 00:00,5/21/07 23:00
wrfout_d02_2007-05-22_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/22/07 00:00,5/22/07 23:00
wrfout_d02_2007-05-23_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/23/07 00:00,5/23/07 23:00
wrfout_d02_2007-05-24_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/24/07 00:00,5/24/07 23:00
wrfout_d02_2007-05-25_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/25/07 00:00,5/25/07 23:00
wrfout_d02_2007-05-26_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/26/07 00:00,5/26/07 23:00
wrfout_d02_2007-05-27_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/27/07 00:00,5/27/07 23:00
wrfout_d02_2007-05-28_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/28/07 00:00,5/28/07 23:00
wrfout_d02_2007-05-29_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/29/07 00:00,5/29/07 23:00
wrfout_d02_2007-05-30_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/30/07 00:00,5/30/07 23:00
wrfout_d02_2007-05-31_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,5/31/07 00:00,5/31/07 23:00
wrfout_d02_2007-06-01_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/1/07 00:00,6/1/07 23:00
wrfout_d02_2007-06-02_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/2/07 00:00,6/2/07 23:00
wrfout_d02_2007-06-03_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/3/07 00:00,6/3/07 23:00
wrfout_d02_2007-06-04_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/4/07 00:00,6/4/07 23:00
wrfout_d02_2007-06-05_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/5/07 00:00,6/5/07 23:00
wrfout_d02_2007-06-06_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/6/07 00:00,6/6/07 23:00
wrfout_d02_2007-06-07_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/7/07 00:00,6/7/07 23:00
wrfout_d02_2007-06-08_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/8/07 00:00,6/8/07 23:00
wrfout_d02_2007-06-09_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/9/07 00:00,6/9/07 23:00
wrfout_d02_2007-06-10_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/10/07 00:00,6/10/07 23:00
wrfout_d02_2007-06-11_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/11/07 00:00,6/11/07 23:00
wrfout_d02_2007-06-12_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/12/07 00:00,6/12/07 23:00
wrfout_d02_2007-06-13_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/13/07 00:00,6/13/07 23:00
wrfout_d02_2007-06-14_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/14/07 00:00,6/14/07 23:00
wrfout_d02_2007-06-15_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/15/07 00:00,6/15/07 23:00
wrfout_d02_2007-06-16_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/16/07 00:00,6/16/07 23:00
wrfout_d02_2007-06-17_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/17/07 00:00,6/17/07 23:00
wrfout_d02_2007-06-18_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/18/07 00:00,6/18/07 23:00
wrfout_d02_2007-06-19_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/19/07 00:00,6/19/07 23:00
wrfout_d02_2007-06-20_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/20/07 00:00,6/20/07 23:00
wrfout_d02_2007-06-21_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/21/07 00:00,6/21/07 23:00
wrfout_d02_2007-06-22_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/22/07 00:00,6/22/07 23:00
wrfout_d02_2007-06-23_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/23/07 00:00,6/23/07 23:00
wrfout_d02_2007-06-24_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/24/07 00:00,6/24/07 23:00
wrfout_d02_2007-06-25_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/25/07 00:00,6/25/07 23:00
wrfout_d02_2007-06-26_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/26/07 00:00,6/26/07 23:00
wrfout_d02_2007-06-27_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/27/07 00:00,6/27/07 23:00
wrfout_d02_2007-06-28_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/28/07 00:00,6/28/07 23:00
wrfout_d02_2007-06-29_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/29/07 00:00,6/29/07 23:00
wrfout_d02_2007-06-30_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,6/30/07 00:00,6/30/07 23:00
wrfout_d02_2007-07-01_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/1/07 00:00,7/1/07 23:00
wrfout_d02_2007-07-02_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/2/07 00:00,7/2/07 23:00
wrfout_d02_2007-07-03_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/3/07 00:00,7/3/07 23:00
wrfout_d02_2007-07-04_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/4/07 00:00,7/4/07 23:00
wrfout_d02_2007-07-05_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/5/07 00:00,7/5/07 23:00
wrfout_d02_2007-07-06_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/6/07 00:00,7/6/07 23:00
wrfout_d02_2007-07-07_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/7/07 00:00,7/7/07 23:00
wrfout_d02_2007-07-08_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/8/07 00:00,7/8/07 23:00
wrfout_d02_2007-07-09_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/9/07 00:00,7/9/07 23:00
wrfout_d02_2007-07-10_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/10/07 00:00,7/10/07 23:00
wrfout_d02_2007-07-11_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/11/07 00:00,7/11/07 23:00
wrfout_d02_2007-07-12_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/12/07 00:00,7/12/07 23:00
wrfout_d02_2007-07-13_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/13/07 00:00,7/13/07 23:00
wrfout_d02_2007-07-14_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/14/07 00:00,7/14/07 23:00
wrfout_d02_2007-07-15_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/15/07 00:00,7/15/07 23:00
wrfout_d02_2007-07-16_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/16/07 00:00,7/16/07 23:00
wrfout_d02_2007-07-17_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/17/07 00:00,7/17/07 23:00
wrfout_d02_2007-07-18_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/18/07 00:00,7/18/07 23:00
wrfout_d02_2007-07-19_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/19/07 00:00,7/19/07 23:00
wrfout_d02_2007-07-20_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/20/07 00:00,7/20/07 23:00
wrfout_d02_2007-07-21_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/21/07 00:00,7/21/07 23:00
wrfout_d02_2007-07-22_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/22/07 00:00,7/22/07 23:00
wrfout_d02_2007-07-23_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/23/07 00:00,7/23/07 23:00
wrfout_d02_2007-07-24_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/24/07 00:00,7/24/07 23:00
wrfout_d02_2007-07-25_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/25/07 00:00,7/25/07 23:00
wrfout_d02_2007-07-26_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/26/07 00:00,7/26/07 23:00
wrfout_d02_2007-07-27_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/27/07 00:00,7/27/07 23:00
wrfout_d02_2007-07-28_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/28/07 00:00,7/28/07 23:00
wrfout_d02_2007-07-29_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/29/07 00:00,7/29/07 23:00
wrfout_d02_2007-07-30_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/30/07 00:00,7/30/07 23:00
wrfout_d02_2007-07-31_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,7/31/07 00:00,7/31/07 23:00
wrfout_d02_2007-08-01_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/1/07 00:00,8/1/07 23:00
wrfout_d02_2007-08-02_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/2/07 00:00,8/2/07 23:00
wrfout_d02_2007-08-03_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/3/07 00:00,8/3/07 23:00
wrfout_d02_2007-08-04_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/4/07 00:00,8/4/07 23:00
wrfout_d02_2007-08-05_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/5/07 00:00,8/5/07 23:00
wrfout_d02_2007-08-06_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/6/07 00:00,8/6/07 23:00
wrfout_d02_2007-08-07_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/7/07 00:00,8/7/07 23:00
wrfout_d02_2007-08-08_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/8/07 00:00,8/8/07 23:00
wrfout_d02_2007-08-09_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/9/07 00:00,8/9/07 23:00
wrfout_d02_2007-08-10_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/10/07 00:00,8/10/07 23:00
wrfout_d02_2007-08-11_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/11/07 00:00,8/11/07 23:00
wrfout_d02_2007-08-12_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/12/07 00:00,8/12/07 23:00
wrfout_d02_2007-08-13_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/13/07 00:00,8/13/07 23:00
wrfout_d02_2007-08-14_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/14/07 00:00,8/14/07 23:00
wrfout_d02_2007-08-15_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/15/07 00:00,8/15/07 23:00
wrfout_d02_2007-08-16_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/16/07 00:00,8/16/07 23:00
wrfout_d02_2007-08-17_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/17/07 00:00,8/17/07 23:00
wrfout_d02_2007-08-18_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/18/07 00:00,8/18/07 23:00
wrfout_d02_2007-08-19_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/19/07 00:00,8/19/07 23:00
wrfout_d02_2007-08-20_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/20/07 00:00,8/20/07 23:00
wrfout_d02_2007-08-21_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/21/07 00:00,8/21/07 23:00
wrfout_d02_2007-08-22_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/22/07 00:00,8/22/07 23:00
wrfout_d02_2007-08-23_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/23/07 00:00,8/23/07 23:00
wrfout_d02_2007-08-24_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/24/07 00:00,8/24/07 23:00
wrfout_d02_2007-08-25_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/25/07 00:00,8/25/07 23:00
wrfout_d02_2007-08-26_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/26/07 00:00,8/26/07 23:00
wrfout_d02_2007-08-27_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/27/07 00:00,8/27/07 23:00
wrfout_d02_2007-08-28_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/28/07 00:00,8/28/07 23:00
wrfout_d02_2007-08-29_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/29/07 00:00,8/29/07 23:00
wrfout_d02_2007-08-30_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/30/07 00:00,8/30/07 23:00
wrfout_d02_2007-08-31_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,8/31/07 00:00,8/31/07 23:00
wrfout_d02_2007-09-01_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/1/07 00:00,9/1/07 23:00
wrfout_d02_2007-09-02_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/2/07 00:00,9/2/07 23:00
wrfout_d02_2007-09-03_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/3/07 00:00,9/3/07 23:00
wrfout_d02_2007-09-04_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/4/07 00:00,9/4/07 23:00
wrfout_d02_2007-09-05_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/5/07 00:00,9/5/07 23:00
wrfout_d02_2007-09-06_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/6/07 00:00,9/6/07 23:00
wrfout_d02_2007-09-07_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/7/07 00:00,9/7/07 23:00
wrfout_d02_2007-09-08_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/8/07 00:00,9/8/07 23:00
wrfout_d02_2007-09-09_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/9/07 00:00,9/9/07 23:00
wrfout_d02_2007-09-10_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/10/07 00:00,9/10/07 23:00
wrfout_d02_2007-09-11_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/11/07 00:00,9/11/07 23:00
wrfout_d02_2007-09-12_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/12/07 00:00,9/12/07 23:00
wrfout_d02_2007-09-13_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/13/07 00:00,9/13/07 23:00
wrfout_d02_2007-09-14_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/14/07 00:00,9/14/07 23:00
wrfout_d02_2007-09-15_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/15/07 00:00,9/15/07 23:00
wrfout_d02_2007-09-16_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/16/07 00:00,9/16/07 23:00
wrfout_d02_2007-09-17_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/17/07 00:00,9/17/07 23:00
wrfout_d02_2007-09-18_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/18/07 00:00,9/18/07 23:00
wrfout_d02_2007-09-19_00:00:00,5/8/07 00:00,5/8/07 00:00,5/8/07 00:00,9/19/07 00:00,9/19/07 23:00
wrfout_d02_2007-09-20_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/20/07 00:00,9/20/07 23:00
wrfout_d02_2007-09-21_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/21/07 00:00,9/21/07 23:00
wrfout_d02_2007-09-22_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/22/07 00:00,9/22/07 23:00
wrfout_d02_2007-09-23_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/23/07 00:00,9/23/07 23:00
wrfout_d02_2007-09-24_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/24/07 00:00,9/24/07 23:00
wrfout_d02_2007-09-25_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/25/07 00:00,9/25/07 23:00
wrfout_d02_2007-09-26_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/26/07 00:00,9/26/07 23:00
wrfout_d02_2007-09-27_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/27/07 00:00,9/27/07 23:00
wrfout_d02_2007-09-28_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/28/07 00:00,9/28/07 23:00
wrfout_d02_2007-09-29_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/29/07 00:00,9/29/07 23:00
wrfout_d02_2007-09-30_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,9/30/07 00:00,9/30/07 23:00
wrfout_d02_2007-10-01_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/1/07 00:00,10/1/07 23:00
wrfout_d02_2007-10-02_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/2/07 00:00,10/2/07 23:00
wrfout_d02_2007-10-03_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/3/07 00:00,10/3/07 23:00
wrfout_d02_2007-10-04_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/4/07 00:00,10/4/07 23:00
wrfout_d02_2007-10-05_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/5/07 00:00,10/5/07 23:00
wrfout_d02_2007-10-06_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/6/07 00:00,10/6/07 23:00
wrfout_d02_2007-10-07_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/7/07 00:00,10/7/07 23:00
wrfout_d02_2007-10-08_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/8/07 00:00,10/8/07 23:00
wrfout_d02_2007-10-09_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/9/07 00:00,10/9/07 23:00
wrfout_d02_2007-10-10_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/10/07 00:00,10/10/07 23:00
wrfout_d02_2007-10-11_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/11/07 00:00,10/11/07 23:00
wrfout_d02_2007-10-12_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/12/07 00:00,10/12/07 23:00
wrfout_d02_2007-10-13_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/13/07 00:00,10/13/07 23:00
wrfout_d02_2007-10-14_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/14/07 00:00,10/14/07 23:00
wrfout_d02_2007-10-15_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/15/07 00:00,10/15/07 23:00
wrfout_d02_2007-10-16_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/16/07 00:00,10/16/07 23:00
wrfout_d02_2007-10-17_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/17/07 00:00,10/17/07 23:00
wrfout_d02_2007-10-18_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/18/07 00:00,10/18/07 23:00
wrfout_d02_2007-10-19_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/19/07 00:00,10/19/07 23:00
wrfout_d02_2007-10-20_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/20/07 00:00,10/20/07 23:00
wrfout_d02_2007-10-21_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/21/07 00:00,10/21/07 23:00
wrfout_d02_2007-10-22_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/22/07 00:00,10/22/07 23:00
wrfout_d02_2007-10-23_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/23/07 00:00,10/23/07 23:00
wrfout_d02_2007-10-24_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/24/07 00:00,10/24/07 23:00
wrfout_d02_2007-10-25_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/25/07 00:00,10/25/07 23:00
wrfout_d02_2007-10-26_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/26/07 00:00,10/26/07 23:00
wrfout_d02_2007-10-27_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/27/07 00:00,10/27/07 23:00
wrfout_d02_2007-10-28_00:00:00,9/10/07 00:00,9/10/07 00:00,9/10/07 00:00,10/28/07 00:00,10/28/07 23:00
